name,sire,dame,date,race_number,track,distance,cl,rank,trainer,weight,jockey,dr,gr,win_time,last_qtr,section_time,ln_running,w_m,horse_wt,rt,odds_on,odds_last
A SHIN HIKARI (V614) 榮進之光  , Deep Impact, Catalina,11-12-16,257,ST tf g A,2000,G1,10,M. Sakaguchi,126,Y. Take,1,H    ,2:00.9,24.1 ,73.34 23.46 25.38,1-1-1-10,7.75,1134,129,6.8,8.6
A SHIN HIKARI (V614) 榮進之光  , Deep Impact, Catalina,13-12-15,251,ST tf g A,2000,G1,1,M. Sakaguchi,126,Y. Take,11,H    ,2:00.6,23.6 ,73.39 23.59 23.62,1-1-1-1,1,1111,114,28,38
ABSOLUTELY WIN (P626) 肯定贏  , Oasis Dream, Five Fields,02-03-13,432,ST tf g C,1400,G3,11,G. W. Moore,117,F. Durso,1,B    ,1:22.0,23.6 ,35.43 23.00 24.60,1-1-1-11,6.25,1111,94,6.8,7.1
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,14-04-19,575,ST tf g C,1200,5,5,L. Ho,129,Z. Purton,1,H/PC,1:10:00,23.79,24.90 21.95 23.68 ,8-6-5,3.25,1043,34,3.8,2.7
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,24-03-19,520,ST tf g C+3,1400,5,4,L. Ho,125,T. H. So,7,H/PC,1:23:23,24.13,36.61 23.09 23.78,8-8-6-4,1.5,1033,34,9.1,12
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,02-03-19,461,ST aw g -,1200,5,3,L. Ho,126,T. H. So,1,H/PC,1:08:90,23.22,24.09 22.23 23.00 ,7-5-3,2.75,1027,35,12,8.7
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,27-01-19,369,ST tf g B+2,1400,5,13,L. Ho,130,N. Callan,5,P-/H/PC1,1:23:07,24.18,36.06 23.51 25.41,1-4-5-13,12,1036,37,7.1,6.3
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,01-01-19,302,ST tf g C,1600,5,6,L. Ho,130,M. F. Poon,8,H/P1,1:35:75,23.55,47.88 24.32 24.05,1-1-1-6,3.25,1047,39,9.3,7.3
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,13-10-18,93,ST tf g C,1200,5,9,L. Ho,131,M. Chadwick,6,H,1:09:84,23.23,24.46 22.63 23.58 ,7-7-9,5.25,1066,40,6.2,6.3
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,16-06-18,735,ST tf g/f C+3,1400,4,4,L. Ho,113,T. H. So,5,H,1:21:54,23.32,35.85 23.09 23.05,13-13-12-4,2.75,1064,42,22,37
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,16-05-18,654,HV tf g/f B,1200,4,9,L. Ho,118,M. Chadwick,7,H,1:10:30,23.68,23.38 23.24 24.42 ,1-1-9,4.75,1055,44,7.3,8.8
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,25-04-18,596,HV tf g C,1200,4,5,L. Ho,117,M. Chadwick,5,H,1:10:70,23.36,24.35 23.35 23.23 ,4-4-5,1.5,1058,44,14,14
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,02-04-18,539,ST tf g B+2,1200,4,2,L. Ho,116,M. Chadwick,7,H,1:09:57,23.66,24.18 22.49 23.04 ,3-2-2,1,1051,43,36,25
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,25-02-18,452,ST tf g B,1400,4,10,L. Ho,119,C. Schofield,5,H,1:22:62,23.87,35.86 23.29 24.30,3-6-6-10,5.25,1048,46,57,64
ADONIS (A324) 明月昇輝  , Exceed And Excel, Mythical Play,21-01-18,359,ST tf g A,1400,4,12,L. Ho,121,A. Badel,6,H,1:23:01,23.65,36.61 23.75 23.35,13-14-14-12,4.5,1042,48,24,25
