english_name,ID,sire,dame,date,race_number,track,distance,cl,rank,trainer,weight,jockey,dr,gr,win_time,last_qtr,section_time,ln_running,w_m,horse_wt,rt,odds_on,odds_last
ALL YOU NEED,A006, Danerich, Metung Belle,2017-11-05,171,ST tf g/f C+3,1400,3,WD,R. Gibson,115,C. Schofield,6,CP/H/TT,1:21:72,23.37, ,6-6-3,2.5,1146.0,62.0,8.0,
BEAUTY DAY,B076, Footstepsinthesand, Lucy Diamonds,2018-06-10,722,ST tf g/f C,1400,4,WD,A. S. Cruz,131,M. Chadwick,8,B/H,1:22:43,22.94, ,13-13-13-13,57.25,1102.0,58.0,,
BIGWOOD,B100, Requinto, Talkin Kate,2018-01-01,315,ST tf g B+2,1400,3,WD,C. Fownes,127,K. Teetan,1, ,1:21:80,23.12, ,9-9-7,6.25,,74.0,,
BIZ POWER,B052, Power, Biz Bar,2019-03-23,517,CH tf g A,1200,3,WD,W. Y. So,125,S. De Sousa,3,B,1:10:48,23.83, ,11-11-9,11.25,1038.0,69.0,,
BIZ POWER,B052, Power, Biz Bar,2018-03-11,489,ST aw g -,1650,3,WD,M. Freedman,133,D. Whyte,12,CP1,1:37:76,23.84, ,11-10-3,3.75,1063.0,78.0,,
BLINK OF A SECOND,B418, Real Saga, Spring Collection,2019-03-17,497,ST tf g A,1200,4,WD,T. P. Yung,124,R. Bayliss,12,H/TT1,1:09:74,23.28, ,9-10-12,9.5,1150.0,50.0,51.0,
BORN IN CHINA,T103, Shamardal, Pearl Dance,2017-02-15,423,HV tf g/f C,1200,1,WD,K. W. Lui,125,D. Whyte,4,B    ,1:09.9,23.2, ,6-6-6,4.25,1065.0,100.0,,
BORN IN CHINA,T103, Shamardal, Pearl Dance,2016-12-11,255,ST tf g A,1400,1,WD,K. W. Lui,121,D. Whyte,7,B    ,1:23.1,21.7, ,9-5-6,2.25,1066.0,102.0,23.0,
BORN IN CHINA,T103, Shamardal, Pearl Dance,2016-04-06,539,ST aw g -,1200,1,WD,K. W. Lui,122,D. Whyte,9, ,1:08.3,23.1, ,5-4-7,4,1087.0,99.0,,
BREEDERS' STAR,V197, Jet Spur, Like The Wind,2016-10-26,134,HV tf g/f C+3,1000,4,DNF,D. Ferraris,128,D. Whyte,1,H    ,,, ,6-6-3,2.5,1161.0,54.0,8.2,
BUNDLE OF ENERGY,B279, Reliable Man, Betty Brown,2018-10-03,67,HV tf g A,1650,4,WD,D. Hall,127,Z. Purton,4, ,1:42:00,24.2, ,4-4-4-4,2.75,1120.0,51.0,7.4,
CALIFORNIA ARCHER,A417, High Chaparral, Sarasota,2018-07-08,785,ST aw w/s -,1200,3,WD,M. Freedman,130,S. Clipperton,12,TT,1:08:38,22.52, ,2-2-2,1,1122.0,72.0,5.1,
CALIFORNIA GUNGHO,B204, Shakespearean, Less Crazy,2019-01-09,325,HV tf g A,1000,3,WD,A. S. Cruz,124,S. De Sousa,12,TT,0:57:33,23.01, ,5-6-5,8,1122.0,69.0,9.8,
CARRY TO WIN,V305, Smart Missile, Arms Wide Open,2019-04-10,566,HV tf g A,1000,5,WD,R. Gibson,118,J. Moreira,9,B,0:57:46,22.67, ,2-2-2,H,1162.0,24.0,,
CHATER THUNDER,A325, Oasis Dream, Sanjida,2018-12-16,257,ST tf g C+3,1600,4,WD,D. Ferraris,133,N. Callan,3,B/TT,1:35:42,23.64, ,7-7-7-10,9.25,1046.0,56.0,,
