english_name,ID,sire,dame,date,race_number,track,distance,cl,rank,trainer,weight,jockey,dr,gr,win_time,last_qtr,section_time,ln_running,w_m,horse_wt,rt,odds_on,odds_last
A SHIN HIKARI,V614, Deep Impact, Catalina,2016-12-11,257,ST tf g A,2000,G1,10,M. Sakaguchi,126,Y. Take,1,H    ,2:00.9,24.1,73.34 23.46 25.38,1-1-1-10,7.75,1134.0,129.0,6.8,8.6
A SHIN HIKARI,V614, Deep Impact, Catalina,2015-12-13,251,ST tf g A,2000,G1,1,M. Sakaguchi,126,Y. Take,11,H    ,2:00.6,23.6,73.39 23.59 23.62,1-1-1-1,1,1111.0,114.0,28.0,38.0
ABSOLUTELY WIN,P626, Oasis Dream, Five Fields,2013-03-02,432,ST tf g C,1400,G3,11,G. W. Moore,117,F. Durso,1,B    ,1:22.0,23.6,35.43 23.00 24.60,1-1-1-11,6.25,1111.0,94.0,6.8,7.1
ADONIS,A324, Exceed And Excel, Mythical Play,2019-04-14,575,ST tf g C,1200,5,5,L. Ho,129,Z. Purton,1,H/PC,1:10:00,23.79,24.90 21.95 23.68 ,8-6-5,3.25,1043.0,34.0,3.8,2.7
ADONIS,A324, Exceed And Excel, Mythical Play,2019-03-24,520,ST tf g C+3,1400,5,4,L. Ho,125,T. H. So,7,H/PC,1:23:23,24.13,36.61 23.09 23.78,8-8-6-4,1.5,1033.0,34.0,9.1,12.0
ADONIS,A324, Exceed And Excel, Mythical Play,2019-03-02,461,ST aw g -,1200,5,3,L. Ho,126,T. H. So,1,H/PC,1:08:90,23.22,24.09 22.23 23.00 ,7-5-3,2.75,1027.0,35.0,12.0,8.7
ADONIS,A324, Exceed And Excel, Mythical Play,2019-01-27,369,ST tf g B+2,1400,5,13,L. Ho,130,N. Callan,5,P-/H/PC1,1:23:07,24.18,36.06 23.51 25.41,1-4-5-13,12,1036.0,37.0,7.1,6.3
ADONIS,A324, Exceed And Excel, Mythical Play,2019-01-01,302,ST tf g C,1600,5,6,L. Ho,130,M. F. Poon,8,H/P1,1:35:75,23.55,47.88 24.32 24.05,1-1-1-6,3.25,1047.0,39.0,9.3,7.3
ADONIS,A324, Exceed And Excel, Mythical Play,2018-10-13,93,ST tf g C,1200,5,9,L. Ho,131,M. Chadwick,6,H,1:09:84,23.23,24.46 22.63 23.58 ,7-7-9,5.25,1066.0,40.0,6.2,6.3
ADONIS,A324, Exceed And Excel, Mythical Play,2018-06-16,735,ST tf g/f C+3,1400,4,4,L. Ho,113,T. H. So,5,H,1:21:54,23.32,35.85 23.09 23.05,13-13-12-4,2.75,1064.0,42.0,22.0,37.0
