,src,race_date,race_course,race_number,race_id,race_class,race_distance,track_condition,race_name,track,sectional_time,incident_report,finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5
1414,20141026-4.html,2014-10-26,Sha Tin,4,2014-114,Class 3,2000,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,"TURF - ""B+2"" COURSE",25.56 23.97 24.27 23.84 23.60,"
                LITTLE MEN was withdrawn on 24.10.14 by order of the Stewards acting on veterinary advice (corneal ulcer right eye).  Before being allowed to race again, LITTLE MEN will be subjected to an official veterinary examination.
WRATH OF FIRE began awkwardly and lost ground on jumping.
LUCKY OMENS also began awkwardly, shifted out at the start and was awkwardly placed inside the hindquarters of PO CHING TREASURE.
PO CHING TREASURE and WAYFOONG EXPRESS made contact at the start.  Then shortly after the start, PO CHING TREASURE shifted out and again bumped WAYFOONG EXPRESS.
From a wide barrier, LEVEL PLAYER was shifted across behind runners in the early stages.
AMBITIOUS CHAMPION had difficulty obtaining clear running in the early part of the Straight.
LUCKY OMENS was held up and unable to obtain clear running until after the 300 Metres.
Near the 150 Metres, PO CHING TREASURE, which was giving ground, shifted in and brushed the running rail.
Approaching the 100 Metres, WEALTHY FORTUNE was awkwardly placed outside the heels of VANILLA which shifted out marginally under pressure.
Throughout the race, WEALTHY FORTUNE travelled wide and without cover.
N Callan (AMBASSADORSHIP) was reminded of his obligation not to raise his whip arm above shoulder height.
When questioned, M Chadwick (OCEAN POWER) stated that he had been asked to take up a forward position from the outside barrier if possible, however, if OCEAN POWER did not show sufficient speed, he should attempt to obtain a position with cover.  He said in accordance with his instructions, he rode his mount along in the early stages and shortly after the start became aware that VANILLA was being aggressively ridden to his inside.  He said he felt that he would have had to make too much use of OCEAN POWER to continue forward, therefore he steadied his mount with a view to obtaining cover behind that horse.  He said this resulted in OCEAN POWER having to race further back in the field than had been anticipated.  He said passing the 1600 Metres he was left racing in a three wide position outside WAYFOONG EXPRESS, however, he had cover.  He added passing the 1400 Metres WAYFOONG EXPRESS was shifted out away from the heels of AMBASSADORSHIP into a three wide position which resulted in OCEAN POWER being taken wider, therefore he elected to steady his mount and obtain a position with cover behind WAYFOONG EXPRESS rather than racing unnecessarily wide.  He said OCEAN POWER did not travel comfortably at any stage and was under pressure as far out as the 800 Metres.  A veterinary examination of OCEAN POWER immediately following the race did not show any significant findings.
WAYFOONG EXPRESS and LUCKY OMENS were sent for sampling.
",1,5.0,WAYFOONG EXPRESS,P262,Z Purton,R Gibson,130,1006,6,-,10.0,9.0,7.0,3.0,2.01.24,5.6,1.0
1415,20141026-4.html,2014-10-26,Sha Tin,4,2014-114,Class 3,2000,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,"TURF - ""B+2"" COURSE",25.56 23.97 24.27 23.84 23.60,"
                LITTLE MEN was withdrawn on 24.10.14 by order of the Stewards acting on veterinary advice (corneal ulcer right eye).  Before being allowed to race again, LITTLE MEN will be subjected to an official veterinary examination.
WRATH OF FIRE began awkwardly and lost ground on jumping.
LUCKY OMENS also began awkwardly, shifted out at the start and was awkwardly placed inside the hindquarters of PO CHING TREASURE.
PO CHING TREASURE and WAYFOONG EXPRESS made contact at the start.  Then shortly after the start, PO CHING TREASURE shifted out and again bumped WAYFOONG EXPRESS.
From a wide barrier, LEVEL PLAYER was shifted across behind runners in the early stages.
AMBITIOUS CHAMPION had difficulty obtaining clear running in the early part of the Straight.
LUCKY OMENS was held up and unable to obtain clear running until after the 300 Metres.
Near the 150 Metres, PO CHING TREASURE, which was giving ground, shifted in and brushed the running rail.
Approaching the 100 Metres, WEALTHY FORTUNE was awkwardly placed outside the heels of VANILLA which shifted out marginally under pressure.
Throughout the race, WEALTHY FORTUNE travelled wide and without cover.
N Callan (AMBASSADORSHIP) was reminded of his obligation not to raise his whip arm above shoulder height.
When questioned, M Chadwick (OCEAN POWER) stated that he had been asked to take up a forward position from the outside barrier if possible, however, if OCEAN POWER did not show sufficient speed, he should attempt to obtain a position with cover.  He said in accordance with his instructions, he rode his mount along in the early stages and shortly after the start became aware that VANILLA was being aggressively ridden to his inside.  He said he felt that he would have had to make too much use of OCEAN POWER to continue forward, therefore he steadied his mount with a view to obtaining cover behind that horse.  He said this resulted in OCEAN POWER having to race further back in the field than had been anticipated.  He said passing the 1600 Metres he was left racing in a three wide position outside WAYFOONG EXPRESS, however, he had cover.  He added passing the 1400 Metres WAYFOONG EXPRESS was shifted out away from the heels of AMBASSADORSHIP into a three wide position which resulted in OCEAN POWER being taken wider, therefore he elected to steady his mount and obtain a position with cover behind WAYFOONG EXPRESS rather than racing unnecessarily wide.  He said OCEAN POWER did not travel comfortably at any stage and was under pressure as far out as the 800 Metres.  A veterinary examination of OCEAN POWER immediately following the race did not show any significant findings.
WAYFOONG EXPRESS and LUCKY OMENS were sent for sampling.
",2,9.0,LUCKY OMENS,P146,D Whyte,A S Cruz,120,1049,4,1-1/4,5.0,6.0,6.0,8.0,2.01.45,4.1,2.0
1416,20141026-4.html,2014-10-26,Sha Tin,4,2014-114,Class 3,2000,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,"TURF - ""B+2"" COURSE",25.56 23.97 24.27 23.84 23.60,"
                LITTLE MEN was withdrawn on 24.10.14 by order of the Stewards acting on veterinary advice (corneal ulcer right eye).  Before being allowed to race again, LITTLE MEN will be subjected to an official veterinary examination.
WRATH OF FIRE began awkwardly and lost ground on jumping.
LUCKY OMENS also began awkwardly, shifted out at the start and was awkwardly placed inside the hindquarters of PO CHING TREASURE.
PO CHING TREASURE and WAYFOONG EXPRESS made contact at the start.  Then shortly after the start, PO CHING TREASURE shifted out and again bumped WAYFOONG EXPRESS.
From a wide barrier, LEVEL PLAYER was shifted across behind runners in the early stages.
AMBITIOUS CHAMPION had difficulty obtaining clear running in the early part of the Straight.
LUCKY OMENS was held up and unable to obtain clear running until after the 300 Metres.
Near the 150 Metres, PO CHING TREASURE, which was giving ground, shifted in and brushed the running rail.
Approaching the 100 Metres, WEALTHY FORTUNE was awkwardly placed outside the heels of VANILLA which shifted out marginally under pressure.
Throughout the race, WEALTHY FORTUNE travelled wide and without cover.
N Callan (AMBASSADORSHIP) was reminded of his obligation not to raise his whip arm above shoulder height.
When questioned, M Chadwick (OCEAN POWER) stated that he had been asked to take up a forward position from the outside barrier if possible, however, if OCEAN POWER did not show sufficient speed, he should attempt to obtain a position with cover.  He said in accordance with his instructions, he rode his mount along in the early stages and shortly after the start became aware that VANILLA was being aggressively ridden to his inside.  He said he felt that he would have had to make too much use of OCEAN POWER to continue forward, therefore he steadied his mount with a view to obtaining cover behind that horse.  He said this resulted in OCEAN POWER having to race further back in the field than had been anticipated.  He said passing the 1600 Metres he was left racing in a three wide position outside WAYFOONG EXPRESS, however, he had cover.  He added passing the 1400 Metres WAYFOONG EXPRESS was shifted out away from the heels of AMBASSADORSHIP into a three wide position which resulted in OCEAN POWER being taken wider, therefore he elected to steady his mount and obtain a position with cover behind WAYFOONG EXPRESS rather than racing unnecessarily wide.  He said OCEAN POWER did not travel comfortably at any stage and was under pressure as far out as the 800 Metres.  A veterinary examination of OCEAN POWER immediately following the race did not show any significant findings.
WAYFOONG EXPRESS and LUCKY OMENS were sent for sampling.
",3,10.0,AMBITIOUS CHAMPION,S083,G Mosse,A T Millard,120,1085,1,1-3/4,3.0,3.0,3.0,5.0,2.01.53,5.4,3.0
1417,20141026-4.html,2014-10-26,Sha Tin,4,2014-114,Class 3,2000,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,"TURF - ""B+2"" COURSE",25.56 23.97 24.27 23.84 23.60,"
                LITTLE MEN was withdrawn on 24.10.14 by order of the Stewards acting on veterinary advice (corneal ulcer right eye).  Before being allowed to race again, LITTLE MEN will be subjected to an official veterinary examination.
WRATH OF FIRE began awkwardly and lost ground on jumping.
LUCKY OMENS also began awkwardly, shifted out at the start and was awkwardly placed inside the hindquarters of PO CHING TREASURE.
PO CHING TREASURE and WAYFOONG EXPRESS made contact at the start.  Then shortly after the start, PO CHING TREASURE shifted out and again bumped WAYFOONG EXPRESS.
From a wide barrier, LEVEL PLAYER was shifted across behind runners in the early stages.
AMBITIOUS CHAMPION had difficulty obtaining clear running in the early part of the Straight.
LUCKY OMENS was held up and unable to obtain clear running until after the 300 Metres.
Near the 150 Metres, PO CHING TREASURE, which was giving ground, shifted in and brushed the running rail.
Approaching the 100 Metres, WEALTHY FORTUNE was awkwardly placed outside the heels of VANILLA which shifted out marginally under pressure.
Throughout the race, WEALTHY FORTUNE travelled wide and without cover.
N Callan (AMBASSADORSHIP) was reminded of his obligation not to raise his whip arm above shoulder height.
When questioned, M Chadwick (OCEAN POWER) stated that he had been asked to take up a forward position from the outside barrier if possible, however, if OCEAN POWER did not show sufficient speed, he should attempt to obtain a position with cover.  He said in accordance with his instructions, he rode his mount along in the early stages and shortly after the start became aware that VANILLA was being aggressively ridden to his inside.  He said he felt that he would have had to make too much use of OCEAN POWER to continue forward, therefore he steadied his mount with a view to obtaining cover behind that horse.  He said this resulted in OCEAN POWER having to race further back in the field than had been anticipated.  He said passing the 1600 Metres he was left racing in a three wide position outside WAYFOONG EXPRESS, however, he had cover.  He added passing the 1400 Metres WAYFOONG EXPRESS was shifted out away from the heels of AMBASSADORSHIP into a three wide position which resulted in OCEAN POWER being taken wider, therefore he elected to steady his mount and obtain a position with cover behind WAYFOONG EXPRESS rather than racing unnecessarily wide.  He said OCEAN POWER did not travel comfortably at any stage and was under pressure as far out as the 800 Metres.  A veterinary examination of OCEAN POWER immediately following the race did not show any significant findings.
WAYFOONG EXPRESS and LUCKY OMENS were sent for sampling.
",4,8.0,AMBASSADORSHIP,N217,N Callan,P F Yiu,120,1128,2,4-1/4,7.0,7.0,8.0,6.0,2.01.91,5.9,4.0
1418,20141026-4.html,2014-10-26,Sha Tin,4,2014-114,Class 3,2000,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,"TURF - ""B+2"" COURSE",25.56 23.97 24.27 23.84 23.60,"
                LITTLE MEN was withdrawn on 24.10.14 by order of the Stewards acting on veterinary advice (corneal ulcer right eye).  Before being allowed to race again, LITTLE MEN will be subjected to an official veterinary examination.
WRATH OF FIRE began awkwardly and lost ground on jumping.
LUCKY OMENS also began awkwardly, shifted out at the start and was awkwardly placed inside the hindquarters of PO CHING TREASURE.
PO CHING TREASURE and WAYFOONG EXPRESS made contact at the start.  Then shortly after the start, PO CHING TREASURE shifted out and again bumped WAYFOONG EXPRESS.
From a wide barrier, LEVEL PLAYER was shifted across behind runners in the early stages.
AMBITIOUS CHAMPION had difficulty obtaining clear running in the early part of the Straight.
LUCKY OMENS was held up and unable to obtain clear running until after the 300 Metres.
Near the 150 Metres, PO CHING TREASURE, which was giving ground, shifted in and brushed the running rail.
Approaching the 100 Metres, WEALTHY FORTUNE was awkwardly placed outside the heels of VANILLA which shifted out marginally under pressure.
Throughout the race, WEALTHY FORTUNE travelled wide and without cover.
N Callan (AMBASSADORSHIP) was reminded of his obligation not to raise his whip arm above shoulder height.
When questioned, M Chadwick (OCEAN POWER) stated that he had been asked to take up a forward position from the outside barrier if possible, however, if OCEAN POWER did not show sufficient speed, he should attempt to obtain a position with cover.  He said in accordance with his instructions, he rode his mount along in the early stages and shortly after the start became aware that VANILLA was being aggressively ridden to his inside.  He said he felt that he would have had to make too much use of OCEAN POWER to continue forward, therefore he steadied his mount with a view to obtaining cover behind that horse.  He said this resulted in OCEAN POWER having to race further back in the field than had been anticipated.  He said passing the 1600 Metres he was left racing in a three wide position outside WAYFOONG EXPRESS, however, he had cover.  He added passing the 1400 Metres WAYFOONG EXPRESS was shifted out away from the heels of AMBASSADORSHIP into a three wide position which resulted in OCEAN POWER being taken wider, therefore he elected to steady his mount and obtain a position with cover behind WAYFOONG EXPRESS rather than racing unnecessarily wide.  He said OCEAN POWER did not travel comfortably at any stage and was under pressure as far out as the 800 Metres.  A veterinary examination of OCEAN POWER immediately following the race did not show any significant findings.
WAYFOONG EXPRESS and LUCKY OMENS were sent for sampling.
",5,11.0,WRATH OF FIRE,L420,M L Yeung,D E Ferraris,114,1067,9,4-3/4,8.0,8.0,9.0,10.0,2.01.99,9.4,5.0
1419,20141026-4.html,2014-10-26,Sha Tin,4,2014-114,Class 3,2000,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,"TURF - ""B+2"" COURSE",25.56 23.97 24.27 23.84 23.60,"
                LITTLE MEN was withdrawn on 24.10.14 by order of the Stewards acting on veterinary advice (corneal ulcer right eye).  Before being allowed to race again, LITTLE MEN will be subjected to an official veterinary examination.
WRATH OF FIRE began awkwardly and lost ground on jumping.
LUCKY OMENS also began awkwardly, shifted out at the start and was awkwardly placed inside the hindquarters of PO CHING TREASURE.
PO CHING TREASURE and WAYFOONG EXPRESS made contact at the start.  Then shortly after the start, PO CHING TREASURE shifted out and again bumped WAYFOONG EXPRESS.
From a wide barrier, LEVEL PLAYER was shifted across behind runners in the early stages.
AMBITIOUS CHAMPION had difficulty obtaining clear running in the early part of the Straight.
LUCKY OMENS was held up and unable to obtain clear running until after the 300 Metres.
Near the 150 Metres, PO CHING TREASURE, which was giving ground, shifted in and brushed the running rail.
Approaching the 100 Metres, WEALTHY FORTUNE was awkwardly placed outside the heels of VANILLA which shifted out marginally under pressure.
Throughout the race, WEALTHY FORTUNE travelled wide and without cover.
N Callan (AMBASSADORSHIP) was reminded of his obligation not to raise his whip arm above shoulder height.
When questioned, M Chadwick (OCEAN POWER) stated that he had been asked to take up a forward position from the outside barrier if possible, however, if OCEAN POWER did not show sufficient speed, he should attempt to obtain a position with cover.  He said in accordance with his instructions, he rode his mount along in the early stages and shortly after the start became aware that VANILLA was being aggressively ridden to his inside.  He said he felt that he would have had to make too much use of OCEAN POWER to continue forward, therefore he steadied his mount with a view to obtaining cover behind that horse.  He said this resulted in OCEAN POWER having to race further back in the field than had been anticipated.  He said passing the 1600 Metres he was left racing in a three wide position outside WAYFOONG EXPRESS, however, he had cover.  He added passing the 1400 Metres WAYFOONG EXPRESS was shifted out away from the heels of AMBASSADORSHIP into a three wide position which resulted in OCEAN POWER being taken wider, therefore he elected to steady his mount and obtain a position with cover behind WAYFOONG EXPRESS rather than racing unnecessarily wide.  He said OCEAN POWER did not travel comfortably at any stage and was under pressure as far out as the 800 Metres.  A veterinary examination of OCEAN POWER immediately following the race did not show any significant findings.
WAYFOONG EXPRESS and LUCKY OMENS were sent for sampling.
",6,3.0,VANILLA,P439,C Y Ho,C Fownes,130,1080,10,6-3/4,2.0,2.0,2.0,2.0,2.02.32,8.7,6.0
1420,20141026-4.html,2014-10-26,Sha Tin,4,2014-114,Class 3,2000,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,"TURF - ""B+2"" COURSE",25.56 23.97 24.27 23.84 23.60,"
                LITTLE MEN was withdrawn on 24.10.14 by order of the Stewards acting on veterinary advice (corneal ulcer right eye).  Before being allowed to race again, LITTLE MEN will be subjected to an official veterinary examination.
WRATH OF FIRE began awkwardly and lost ground on jumping.
LUCKY OMENS also began awkwardly, shifted out at the start and was awkwardly placed inside the hindquarters of PO CHING TREASURE.
PO CHING TREASURE and WAYFOONG EXPRESS made contact at the start.  Then shortly after the start, PO CHING TREASURE shifted out and again bumped WAYFOONG EXPRESS.
From a wide barrier, LEVEL PLAYER was shifted across behind runners in the early stages.
AMBITIOUS CHAMPION had difficulty obtaining clear running in the early part of the Straight.
LUCKY OMENS was held up and unable to obtain clear running until after the 300 Metres.
Near the 150 Metres, PO CHING TREASURE, which was giving ground, shifted in and brushed the running rail.
Approaching the 100 Metres, WEALTHY FORTUNE was awkwardly placed outside the heels of VANILLA which shifted out marginally under pressure.
Throughout the race, WEALTHY FORTUNE travelled wide and without cover.
N Callan (AMBASSADORSHIP) was reminded of his obligation not to raise his whip arm above shoulder height.
When questioned, M Chadwick (OCEAN POWER) stated that he had been asked to take up a forward position from the outside barrier if possible, however, if OCEAN POWER did not show sufficient speed, he should attempt to obtain a position with cover.  He said in accordance with his instructions, he rode his mount along in the early stages and shortly after the start became aware that VANILLA was being aggressively ridden to his inside.  He said he felt that he would have had to make too much use of OCEAN POWER to continue forward, therefore he steadied his mount with a view to obtaining cover behind that horse.  He said this resulted in OCEAN POWER having to race further back in the field than had been anticipated.  He said passing the 1600 Metres he was left racing in a three wide position outside WAYFOONG EXPRESS, however, he had cover.  He added passing the 1400 Metres WAYFOONG EXPRESS was shifted out away from the heels of AMBASSADORSHIP into a three wide position which resulted in OCEAN POWER being taken wider, therefore he elected to steady his mount and obtain a position with cover behind WAYFOONG EXPRESS rather than racing unnecessarily wide.  He said OCEAN POWER did not travel comfortably at any stage and was under pressure as far out as the 800 Metres.  A veterinary examination of OCEAN POWER immediately following the race did not show any significant findings.
WAYFOONG EXPRESS and LUCKY OMENS were sent for sampling.
",7,6.0,LEVEL PLAYER,N323,A Suborics,A S Cruz,126,1119,11,7-1/4,12.0,10.0,11.0,11.0,2.02.40,23,7.0
1421,20141026-4.html,2014-10-26,Sha Tin,4,2014-114,Class 3,2000,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,"TURF - ""B+2"" COURSE",25.56 23.97 24.27 23.84 23.60,"
                LITTLE MEN was withdrawn on 24.10.14 by order of the Stewards acting on veterinary advice (corneal ulcer right eye).  Before being allowed to race again, LITTLE MEN will be subjected to an official veterinary examination.
WRATH OF FIRE began awkwardly and lost ground on jumping.
LUCKY OMENS also began awkwardly, shifted out at the start and was awkwardly placed inside the hindquarters of PO CHING TREASURE.
PO CHING TREASURE and WAYFOONG EXPRESS made contact at the start.  Then shortly after the start, PO CHING TREASURE shifted out and again bumped WAYFOONG EXPRESS.
From a wide barrier, LEVEL PLAYER was shifted across behind runners in the early stages.
AMBITIOUS CHAMPION had difficulty obtaining clear running in the early part of the Straight.
LUCKY OMENS was held up and unable to obtain clear running until after the 300 Metres.
Near the 150 Metres, PO CHING TREASURE, which was giving ground, shifted in and brushed the running rail.
Approaching the 100 Metres, WEALTHY FORTUNE was awkwardly placed outside the heels of VANILLA which shifted out marginally under pressure.
Throughout the race, WEALTHY FORTUNE travelled wide and without cover.
N Callan (AMBASSADORSHIP) was reminded of his obligation not to raise his whip arm above shoulder height.
When questioned, M Chadwick (OCEAN POWER) stated that he had been asked to take up a forward position from the outside barrier if possible, however, if OCEAN POWER did not show sufficient speed, he should attempt to obtain a position with cover.  He said in accordance with his instructions, he rode his mount along in the early stages and shortly after the start became aware that VANILLA was being aggressively ridden to his inside.  He said he felt that he would have had to make too much use of OCEAN POWER to continue forward, therefore he steadied his mount with a view to obtaining cover behind that horse.  He said this resulted in OCEAN POWER having to race further back in the field than had been anticipated.  He said passing the 1600 Metres he was left racing in a three wide position outside WAYFOONG EXPRESS, however, he had cover.  He added passing the 1400 Metres WAYFOONG EXPRESS was shifted out away from the heels of AMBASSADORSHIP into a three wide position which resulted in OCEAN POWER being taken wider, therefore he elected to steady his mount and obtain a position with cover behind WAYFOONG EXPRESS rather than racing unnecessarily wide.  He said OCEAN POWER did not travel comfortably at any stage and was under pressure as far out as the 800 Metres.  A veterinary examination of OCEAN POWER immediately following the race did not show any significant findings.
WAYFOONG EXPRESS and LUCKY OMENS were sent for sampling.
",8,4.0,PO CHING TREASURE,S388,H W Lai,P F Yiu,128,1041,5,7-1/2,1.0,1.0,1.0,1.0,2.02.43,99,8.0
1422,20141026-4.html,2014-10-26,Sha Tin,4,2014-114,Class 3,2000,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,"TURF - ""B+2"" COURSE",25.56 23.97 24.27 23.84 23.60,"
                LITTLE MEN was withdrawn on 24.10.14 by order of the Stewards acting on veterinary advice (corneal ulcer right eye).  Before being allowed to race again, LITTLE MEN will be subjected to an official veterinary examination.
WRATH OF FIRE began awkwardly and lost ground on jumping.
LUCKY OMENS also began awkwardly, shifted out at the start and was awkwardly placed inside the hindquarters of PO CHING TREASURE.
PO CHING TREASURE and WAYFOONG EXPRESS made contact at the start.  Then shortly after the start, PO CHING TREASURE shifted out and again bumped WAYFOONG EXPRESS.
From a wide barrier, LEVEL PLAYER was shifted across behind runners in the early stages.
AMBITIOUS CHAMPION had difficulty obtaining clear running in the early part of the Straight.
LUCKY OMENS was held up and unable to obtain clear running until after the 300 Metres.
Near the 150 Metres, PO CHING TREASURE, which was giving ground, shifted in and brushed the running rail.
Approaching the 100 Metres, WEALTHY FORTUNE was awkwardly placed outside the heels of VANILLA which shifted out marginally under pressure.
Throughout the race, WEALTHY FORTUNE travelled wide and without cover.
N Callan (AMBASSADORSHIP) was reminded of his obligation not to raise his whip arm above shoulder height.
When questioned, M Chadwick (OCEAN POWER) stated that he had been asked to take up a forward position from the outside barrier if possible, however, if OCEAN POWER did not show sufficient speed, he should attempt to obtain a position with cover.  He said in accordance with his instructions, he rode his mount along in the early stages and shortly after the start became aware that VANILLA was being aggressively ridden to his inside.  He said he felt that he would have had to make too much use of OCEAN POWER to continue forward, therefore he steadied his mount with a view to obtaining cover behind that horse.  He said this resulted in OCEAN POWER having to race further back in the field than had been anticipated.  He said passing the 1600 Metres he was left racing in a three wide position outside WAYFOONG EXPRESS, however, he had cover.  He added passing the 1400 Metres WAYFOONG EXPRESS was shifted out away from the heels of AMBASSADORSHIP into a three wide position which resulted in OCEAN POWER being taken wider, therefore he elected to steady his mount and obtain a position with cover behind WAYFOONG EXPRESS rather than racing unnecessarily wide.  He said OCEAN POWER did not travel comfortably at any stage and was under pressure as far out as the 800 Metres.  A veterinary examination of OCEAN POWER immediately following the race did not show any significant findings.
WAYFOONG EXPRESS and LUCKY OMENS were sent for sampling.
",9,1.0,TAKE TO THE LIMIT,S190,N Rawiller,S Woods,133,1124,7,7-1/2,11.0,12.0,10.0,9.0,2.02.44,41,9.0
1423,20141026-4.html,2014-10-26,Sha Tin,4,2014-114,Class 3,2000,GOOD TO FIRM,BULGARI EXCELLENT HANDICAP,"TURF - ""B+2"" COURSE",25.56 23.97 24.27 23.84 23.60,"
                LITTLE MEN was withdrawn on 24.10.14 by order of the Stewards acting on veterinary advice (corneal ulcer right eye).  Before being allowed to race again, LITTLE MEN will be subjected to an official veterinary examination.
WRATH OF FIRE began awkwardly and lost ground on jumping.
LUCKY OMENS also began awkwardly, shifted out at the start and was awkwardly placed inside the hindquarters of PO CHING TREASURE.
PO CHING TREASURE and WAYFOONG EXPRESS made contact at the start.  Then shortly after the start, PO CHING TREASURE shifted out and again bumped WAYFOONG EXPRESS.
From a wide barrier, LEVEL PLAYER was shifted across behind runners in the early stages.
AMBITIOUS CHAMPION had difficulty obtaining clear running in the early part of the Straight.
LUCKY OMENS was held up and unable to obtain clear running until after the 300 Metres.
Near the 150 Metres, PO CHING TREASURE, which was giving ground, shifted in and brushed the running rail.
Approaching the 100 Metres, WEALTHY FORTUNE was awkwardly placed outside the heels of VANILLA which shifted out marginally under pressure.
Throughout the race, WEALTHY FORTUNE travelled wide and without cover.
N Callan (AMBASSADORSHIP) was reminded of his obligation not to raise his whip arm above shoulder height.
When questioned, M Chadwick (OCEAN POWER) stated that he had been asked to take up a forward position from the outside barrier if possible, however, if OCEAN POWER did not show sufficient speed, he should attempt to obtain a position with cover.  He said in accordance with his instructions, he rode his mount along in the early stages and shortly after the start became aware that VANILLA was being aggressively ridden to his inside.  He said he felt that he would have had to make too much use of OCEAN POWER to continue forward, therefore he steadied his mount with a view to obtaining cover behind that horse.  He said this resulted in OCEAN POWER having to race further back in the field than had been anticipated.  He said passing the 1600 Metres he was left racing in a three wide position outside WAYFOONG EXPRESS, however, he had cover.  He added passing the 1400 Metres WAYFOONG EXPRESS was shifted out away from the heels of AMBASSADORSHIP into a three wide position which resulted in OCEAN POWER being taken wider, therefore he elected to steady his mount and obtain a position with cover behind WAYFOONG EXPRESS rather than racing unnecessarily wide.  He said OCEAN POWER did not travel comfortably at any stage and was under pressure as far out as the 800 Metres.  A veterinary examination of OCEAN POWER immediately following the race did not show any significant findings.
WAYFOONG EXPRESS and LUCKY OMENS were sent for sampling.
",10,7.0,AGIAAL,N177,C Reith,A Schutz,121,1065,3,7-1/2,4.0,5.0,5.0,7.0,2.02.45,42,10.0
