,src,race_date,race_course,race_number,race_id,race_class,race_distance,track_condition,race_name,track,sectional_time,incident_report,finishing_position,horse_number,horse_name,horse_id,jockey,trainer,actual_weight,declared_horse_weight,draw,length_behind_winner,running_position_1,running_position_2,running_position_3,running_position_4,finish_time,win_odds,running_position_5,running_position_6
2964,20141214-4.html,2014-12-14,Sha Tin,4,2014-236,Group One,2400,GOOD TO FIRM,THE LONGINES HONG KONG VASE,"TURF - ""A"" COURSE",26.27 26.31 26.70 24.83 22.86 22.86,"
                WAYFOONG EXPRESS was withdrawn on 12.12.14 by order of the Stewards acting on veterinary advice (lame right fore).  Before being allowed to race again, WAYFOONG EXPRESS will be subjected to an official veterinary examination.
EMPOLI began very awkwardly and lost a significant amount of ground.
PARISH HALL was slow to begin.
In the early and middle stages, RAINBOW CHIC proved very difficult to settle and got its head up on a number of occasions.
Approaching the winning post on the first occasion, PARISH HALL, which throughout the race travelled wide and without cover, proved very difficult to settle and got its head up on a number of occasions.
Making the turn after the 900 Metres, RAINBOW CHIC, which was continuing to prove difficult to settle, was steadied away from the heels of KHAYA.
After the 700 Metres, RAINBOW CHIC and BUBBLE CHIC momentarily raced tight inside CURREN MIROTIC which shifted in when improving to race outside the lead.
In the Straight, EMPOLI hung in under pressure.
The performance of RAINBOW CHIC, which finished tailed out, was considered unacceptable.  Before being allowed to race again, RAINBOW CHIC will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of RED CADEAUX, RAINBOW CHIC and SNOW SKY immediately following the race did not show any significant findings.
After the race, the Veterinary Surgeon reported that CURREN MIROTIC was found to have a small puncture wound to the right hind tendon.
FLINTSHIRE and WILLIE CAZALS were sent for sampling.
",1,1.0,FLINTSHIRE,T615,M Guyon,A Fabre,126,1070,4,-,7.0,7.0,7.0,7.0,2.29.83,2.1,8.0,1.0
2965,20141214-4.html,2014-12-14,Sha Tin,4,2014-236,Group One,2400,GOOD TO FIRM,THE LONGINES HONG KONG VASE,"TURF - ""A"" COURSE",26.27 26.31 26.70 24.83 22.86 22.86,"
                WAYFOONG EXPRESS was withdrawn on 12.12.14 by order of the Stewards acting on veterinary advice (lame right fore).  Before being allowed to race again, WAYFOONG EXPRESS will be subjected to an official veterinary examination.
EMPOLI began very awkwardly and lost a significant amount of ground.
PARISH HALL was slow to begin.
In the early and middle stages, RAINBOW CHIC proved very difficult to settle and got its head up on a number of occasions.
Approaching the winning post on the first occasion, PARISH HALL, which throughout the race travelled wide and without cover, proved very difficult to settle and got its head up on a number of occasions.
Making the turn after the 900 Metres, RAINBOW CHIC, which was continuing to prove difficult to settle, was steadied away from the heels of KHAYA.
After the 700 Metres, RAINBOW CHIC and BUBBLE CHIC momentarily raced tight inside CURREN MIROTIC which shifted in when improving to race outside the lead.
In the Straight, EMPOLI hung in under pressure.
The performance of RAINBOW CHIC, which finished tailed out, was considered unacceptable.  Before being allowed to race again, RAINBOW CHIC will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of RED CADEAUX, RAINBOW CHIC and SNOW SKY immediately following the race did not show any significant findings.
After the race, the Veterinary Surgeon reported that CURREN MIROTIC was found to have a small puncture wound to the right hind tendon.
FLINTSHIRE and WILLIE CAZALS were sent for sampling.
",2,8.0,WILLIE CAZALS,N119,D Whyte,A S Cruz,126,1049,3,1/2,10.0,10.0,10.0,10.0,2.29.92,6.4,9.0,2.0
2966,20141214-4.html,2014-12-14,Sha Tin,4,2014-236,Group One,2400,GOOD TO FIRM,THE LONGINES HONG KONG VASE,"TURF - ""A"" COURSE",26.27 26.31 26.70 24.83 22.86 22.86,"
                WAYFOONG EXPRESS was withdrawn on 12.12.14 by order of the Stewards acting on veterinary advice (lame right fore).  Before being allowed to race again, WAYFOONG EXPRESS will be subjected to an official veterinary examination.
EMPOLI began very awkwardly and lost a significant amount of ground.
PARISH HALL was slow to begin.
In the early and middle stages, RAINBOW CHIC proved very difficult to settle and got its head up on a number of occasions.
Approaching the winning post on the first occasion, PARISH HALL, which throughout the race travelled wide and without cover, proved very difficult to settle and got its head up on a number of occasions.
Making the turn after the 900 Metres, RAINBOW CHIC, which was continuing to prove difficult to settle, was steadied away from the heels of KHAYA.
After the 700 Metres, RAINBOW CHIC and BUBBLE CHIC momentarily raced tight inside CURREN MIROTIC which shifted in when improving to race outside the lead.
In the Straight, EMPOLI hung in under pressure.
The performance of RAINBOW CHIC, which finished tailed out, was considered unacceptable.  Before being allowed to race again, RAINBOW CHIC will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of RED CADEAUX, RAINBOW CHIC and SNOW SKY immediately following the race did not show any significant findings.
After the race, the Veterinary Surgeon reported that CURREN MIROTIC was found to have a small puncture wound to the right hind tendon.
FLINTSHIRE and WILLIE CAZALS were sent for sampling.
",3,10.0,KHAYA,P289,M Demuro,J Size,126,1072,10,1-3/4,1.0,1.0,1.0,1.0,2.30.10,15,1.0,3.0
2967,20141214-4.html,2014-12-14,Sha Tin,4,2014-236,Group One,2400,GOOD TO FIRM,THE LONGINES HONG KONG VASE,"TURF - ""A"" COURSE",26.27 26.31 26.70 24.83 22.86 22.86,"
                WAYFOONG EXPRESS was withdrawn on 12.12.14 by order of the Stewards acting on veterinary advice (lame right fore).  Before being allowed to race again, WAYFOONG EXPRESS will be subjected to an official veterinary examination.
EMPOLI began very awkwardly and lost a significant amount of ground.
PARISH HALL was slow to begin.
In the early and middle stages, RAINBOW CHIC proved very difficult to settle and got its head up on a number of occasions.
Approaching the winning post on the first occasion, PARISH HALL, which throughout the race travelled wide and without cover, proved very difficult to settle and got its head up on a number of occasions.
Making the turn after the 900 Metres, RAINBOW CHIC, which was continuing to prove difficult to settle, was steadied away from the heels of KHAYA.
After the 700 Metres, RAINBOW CHIC and BUBBLE CHIC momentarily raced tight inside CURREN MIROTIC which shifted in when improving to race outside the lead.
In the Straight, EMPOLI hung in under pressure.
The performance of RAINBOW CHIC, which finished tailed out, was considered unacceptable.  Before being allowed to race again, RAINBOW CHIC will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of RED CADEAUX, RAINBOW CHIC and SNOW SKY immediately following the race did not show any significant findings.
After the race, the Veterinary Surgeon reported that CURREN MIROTIC was found to have a small puncture wound to the right hind tendon.
FLINTSHIRE and WILLIE CAZALS were sent for sampling.
",4,2.0,DOMINANT,N169,J Moreira,J Moore,126,1086,2,2,8.0,9.0,8.0,8.0,2.30.17,9.4,5.0,4.0
2968,20141214-4.html,2014-12-14,Sha Tin,4,2014-236,Group One,2400,GOOD TO FIRM,THE LONGINES HONG KONG VASE,"TURF - ""A"" COURSE",26.27 26.31 26.70 24.83 22.86 22.86,"
                WAYFOONG EXPRESS was withdrawn on 12.12.14 by order of the Stewards acting on veterinary advice (lame right fore).  Before being allowed to race again, WAYFOONG EXPRESS will be subjected to an official veterinary examination.
EMPOLI began very awkwardly and lost a significant amount of ground.
PARISH HALL was slow to begin.
In the early and middle stages, RAINBOW CHIC proved very difficult to settle and got its head up on a number of occasions.
Approaching the winning post on the first occasion, PARISH HALL, which throughout the race travelled wide and without cover, proved very difficult to settle and got its head up on a number of occasions.
Making the turn after the 900 Metres, RAINBOW CHIC, which was continuing to prove difficult to settle, was steadied away from the heels of KHAYA.
After the 700 Metres, RAINBOW CHIC and BUBBLE CHIC momentarily raced tight inside CURREN MIROTIC which shifted in when improving to race outside the lead.
In the Straight, EMPOLI hung in under pressure.
The performance of RAINBOW CHIC, which finished tailed out, was considered unacceptable.  Before being allowed to race again, RAINBOW CHIC will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of RED CADEAUX, RAINBOW CHIC and SNOW SKY immediately following the race did not show any significant findings.
After the race, the Veterinary Surgeon reported that CURREN MIROTIC was found to have a small puncture wound to the right hind tendon.
FLINTSHIRE and WILLIE CAZALS were sent for sampling.
",5,3.0,CURREN MIROTIC,T616,K Ikezoe,O Hirata,126,1004,6,2-3/4,3.0,4.0,4.0,2.0,2.30.29,37,2.0,5.0
2969,20141214-4.html,2014-12-14,Sha Tin,4,2014-236,Group One,2400,GOOD TO FIRM,THE LONGINES HONG KONG VASE,"TURF - ""A"" COURSE",26.27 26.31 26.70 24.83 22.86 22.86,"
                WAYFOONG EXPRESS was withdrawn on 12.12.14 by order of the Stewards acting on veterinary advice (lame right fore).  Before being allowed to race again, WAYFOONG EXPRESS will be subjected to an official veterinary examination.
EMPOLI began very awkwardly and lost a significant amount of ground.
PARISH HALL was slow to begin.
In the early and middle stages, RAINBOW CHIC proved very difficult to settle and got its head up on a number of occasions.
Approaching the winning post on the first occasion, PARISH HALL, which throughout the race travelled wide and without cover, proved very difficult to settle and got its head up on a number of occasions.
Making the turn after the 900 Metres, RAINBOW CHIC, which was continuing to prove difficult to settle, was steadied away from the heels of KHAYA.
After the 700 Metres, RAINBOW CHIC and BUBBLE CHIC momentarily raced tight inside CURREN MIROTIC which shifted in when improving to race outside the lead.
In the Straight, EMPOLI hung in under pressure.
The performance of RAINBOW CHIC, which finished tailed out, was considered unacceptable.  Before being allowed to race again, RAINBOW CHIC will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of RED CADEAUX, RAINBOW CHIC and SNOW SKY immediately following the race did not show any significant findings.
After the race, the Veterinary Surgeon reported that CURREN MIROTIC was found to have a small puncture wound to the right hind tendon.
FLINTSHIRE and WILLIE CAZALS were sent for sampling.
",6,5.0,RED CADEAUX,N618,G Mosse,E A L Dunlop,126,1079,7,2-3/4,6.0,6.0,5.0,5.0,2.30.29,8.2,6.0,6.0
2970,20141214-4.html,2014-12-14,Sha Tin,4,2014-236,Group One,2400,GOOD TO FIRM,THE LONGINES HONG KONG VASE,"TURF - ""A"" COURSE",26.27 26.31 26.70 24.83 22.86 22.86,"
                WAYFOONG EXPRESS was withdrawn on 12.12.14 by order of the Stewards acting on veterinary advice (lame right fore).  Before being allowed to race again, WAYFOONG EXPRESS will be subjected to an official veterinary examination.
EMPOLI began very awkwardly and lost a significant amount of ground.
PARISH HALL was slow to begin.
In the early and middle stages, RAINBOW CHIC proved very difficult to settle and got its head up on a number of occasions.
Approaching the winning post on the first occasion, PARISH HALL, which throughout the race travelled wide and without cover, proved very difficult to settle and got its head up on a number of occasions.
Making the turn after the 900 Metres, RAINBOW CHIC, which was continuing to prove difficult to settle, was steadied away from the heels of KHAYA.
After the 700 Metres, RAINBOW CHIC and BUBBLE CHIC momentarily raced tight inside CURREN MIROTIC which shifted in when improving to race outside the lead.
In the Straight, EMPOLI hung in under pressure.
The performance of RAINBOW CHIC, which finished tailed out, was considered unacceptable.  Before being allowed to race again, RAINBOW CHIC will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of RED CADEAUX, RAINBOW CHIC and SNOW SKY immediately following the race did not show any significant findings.
After the race, the Veterinary Surgeon reported that CURREN MIROTIC was found to have a small puncture wound to the right hind tendon.
FLINTSHIRE and WILLIE CAZALS were sent for sampling.
",7,12.0,SNOW SKY,T620,R Moore,Sir M R Stoute,121,1013,5,4-3/4,5.0,5.0,6.0,6.0,2.30.58,5,7.0,7.0
2971,20141214-4.html,2014-12-14,Sha Tin,4,2014-236,Group One,2400,GOOD TO FIRM,THE LONGINES HONG KONG VASE,"TURF - ""A"" COURSE",26.27 26.31 26.70 24.83 22.86 22.86,"
                WAYFOONG EXPRESS was withdrawn on 12.12.14 by order of the Stewards acting on veterinary advice (lame right fore).  Before being allowed to race again, WAYFOONG EXPRESS will be subjected to an official veterinary examination.
EMPOLI began very awkwardly and lost a significant amount of ground.
PARISH HALL was slow to begin.
In the early and middle stages, RAINBOW CHIC proved very difficult to settle and got its head up on a number of occasions.
Approaching the winning post on the first occasion, PARISH HALL, which throughout the race travelled wide and without cover, proved very difficult to settle and got its head up on a number of occasions.
Making the turn after the 900 Metres, RAINBOW CHIC, which was continuing to prove difficult to settle, was steadied away from the heels of KHAYA.
After the 700 Metres, RAINBOW CHIC and BUBBLE CHIC momentarily raced tight inside CURREN MIROTIC which shifted in when improving to race outside the lead.
In the Straight, EMPOLI hung in under pressure.
The performance of RAINBOW CHIC, which finished tailed out, was considered unacceptable.  Before being allowed to race again, RAINBOW CHIC will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of RED CADEAUX, RAINBOW CHIC and SNOW SKY immediately following the race did not show any significant findings.
After the race, the Veterinary Surgeon reported that CURREN MIROTIC was found to have a small puncture wound to the right hind tendon.
FLINTSHIRE and WILLIE CAZALS were sent for sampling.
",8,4.0,EMPOLI,T617,A de Vries,P Schiergen,126,1040,11,6-3/4,11.0,11.0,11.0,11.0,2.30.91,45,11.0,8.0
2972,20141214-4.html,2014-12-14,Sha Tin,4,2014-236,Group One,2400,GOOD TO FIRM,THE LONGINES HONG KONG VASE,"TURF - ""A"" COURSE",26.27 26.31 26.70 24.83 22.86 22.86,"
                WAYFOONG EXPRESS was withdrawn on 12.12.14 by order of the Stewards acting on veterinary advice (lame right fore).  Before being allowed to race again, WAYFOONG EXPRESS will be subjected to an official veterinary examination.
EMPOLI began very awkwardly and lost a significant amount of ground.
PARISH HALL was slow to begin.
In the early and middle stages, RAINBOW CHIC proved very difficult to settle and got its head up on a number of occasions.
Approaching the winning post on the first occasion, PARISH HALL, which throughout the race travelled wide and without cover, proved very difficult to settle and got its head up on a number of occasions.
Making the turn after the 900 Metres, RAINBOW CHIC, which was continuing to prove difficult to settle, was steadied away from the heels of KHAYA.
After the 700 Metres, RAINBOW CHIC and BUBBLE CHIC momentarily raced tight inside CURREN MIROTIC which shifted in when improving to race outside the lead.
In the Straight, EMPOLI hung in under pressure.
The performance of RAINBOW CHIC, which finished tailed out, was considered unacceptable.  Before being allowed to race again, RAINBOW CHIC will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of RED CADEAUX, RAINBOW CHIC and SNOW SKY immediately following the race did not show any significant findings.
After the race, the Veterinary Surgeon reported that CURREN MIROTIC was found to have a small puncture wound to the right hind tendon.
FLINTSHIRE and WILLIE CAZALS were sent for sampling.
",9,6.0,BUBBLE CHIC,N369,K Teetan,D J Hall,126,1004,8,8-1/2,2.0,3.0,2.0,3.0,2.31.18,54,4.0,9.0
2973,20141214-4.html,2014-12-14,Sha Tin,4,2014-236,Group One,2400,GOOD TO FIRM,THE LONGINES HONG KONG VASE,"TURF - ""A"" COURSE",26.27 26.31 26.70 24.83 22.86 22.86,"
                WAYFOONG EXPRESS was withdrawn on 12.12.14 by order of the Stewards acting on veterinary advice (lame right fore).  Before being allowed to race again, WAYFOONG EXPRESS will be subjected to an official veterinary examination.
EMPOLI began very awkwardly and lost a significant amount of ground.
PARISH HALL was slow to begin.
In the early and middle stages, RAINBOW CHIC proved very difficult to settle and got its head up on a number of occasions.
Approaching the winning post on the first occasion, PARISH HALL, which throughout the race travelled wide and without cover, proved very difficult to settle and got its head up on a number of occasions.
Making the turn after the 900 Metres, RAINBOW CHIC, which was continuing to prove difficult to settle, was steadied away from the heels of KHAYA.
After the 700 Metres, RAINBOW CHIC and BUBBLE CHIC momentarily raced tight inside CURREN MIROTIC which shifted in when improving to race outside the lead.
In the Straight, EMPOLI hung in under pressure.
The performance of RAINBOW CHIC, which finished tailed out, was considered unacceptable.  Before being allowed to race again, RAINBOW CHIC will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of RED CADEAUX, RAINBOW CHIC and SNOW SKY immediately following the race did not show any significant findings.
After the race, the Veterinary Surgeon reported that CURREN MIROTIC was found to have a small puncture wound to the right hind tendon.
FLINTSHIRE and WILLIE CAZALS were sent for sampling.
",10,7.0,PARISH HALL,T618,K Manning,J S Bolger,126,1121,9,8-3/4,9.0,8.0,9.0,9.0,2.31.23,92,10.0,10.0
